Name,Quantity,Supplier Part,Price,Link
1uF Capacitor,1,C62934,$0.03,https://item.szlcsc.com/44805.html
47k Ohm Resistor,1,C713997,$0.007,https://item.szlcsc.com/2681960.html
470 Ohm Resistor,2,C713997,$0.007,https://item.szlcsc.com/2681960.html
555 Timer,1,C46749,$0.45,https://item.szlcsc.com/47753.html
Custom PCB ,1,N/A,$2,https://cart.jlcpcb.com/shopcart/cart
Taxes & Payment Fee,1,N/A,$0.86,https://cart.jlcpcb.com/shopcart/cart
Shipping ,1,N/A,$3.12,https://cart.jlcpcb.com/shopcart/cart

Total Price,,,$6.47,


